transponder,TLR2Cluster,Trapping.session,sex,age,Fla_positive
0006C97B8C,0,August,male,ad,0
0006D0F12E,1,August,male,ad,0
0006D0E555,0,August,male,ad,0
0006D0CE25,1,August,male,ad,0
0006B8B191,0,August,female,ad,1
0006A3F3AD,0,August,female,ad,1
0006D0C00E,0,August,male,ad,1
0006D0DBDC,2,August,male,ad,0
0006D0C063,0,August,female,ad,0
0006D78826,2,August,female,ad,0
0006D0EEF3,0,August,female,ad,0
0006D0D0C6,1,August,female,ad,0
0006C98476,0,August,male,ad,0
0006D0DFF3,0,August,male,ad,0
0006D19A4B,0,August,male,ad,0
0006D0CEDD,1,August,male,ad,0
0006D0D6E6,2,August,male,ad,0
0006D0E557,0,August,female,ad,0
0006D0C115,1,August,female,ad,0
0006D79DDC,1,August,male,ad,0
0006D0BC73,0,August,male,ad,0
0006C9EDB0,0,August,female,ad,1
0006C9EDB0,0,August,female,ad,1
0006D0CF69,0,August,male,ad,1
0006B98716,0,August,male,ad,1
0006C971DB,1,August,female,ad,0
0006D0C0B3,2,August,female,ad,0
0006D0BFEB,1,August,female,ad,0
0006D0CA35,2,August,female,ad,0
0006B97278,0,August,female,ad,0
0006B98EFB,0,August,female,ad,0
0006D0EC17,1,August,female,ad,0
0006D0D937,0,August,female,ad,0
0006D1AB46,0,August,female,ad,0
0006D0CA06,1,August,female,ad,0
0006B97FBC,1,August,female,ad,0
0006A3F3AD,0,August,female,ad,1
0006D0BE19,0,August,male,ad,1
0006B9726B,1,August,male,ad,1
0006D0BC5C,1,August,female,ad,0
0006D0C042,1,August,female,ad,0
0006D0F54C,2,August,female,ad,0
0006B96E1F,0,August,female,ad,0
0006D7C17C,1,August,male,ad,0
0006D1A0FF,1,August,male,ad,1
0006D0E26E,0,August,male,ad,1
0006A2EDFC,1,August,male,ad,1
0006D0D2B6,1,August,male,ad,1
0006B8853F,0,August,female,ad,0
0006D0D9F3,1,August,female,ad,0
0006C96D57,2,August,female,ad,1
0006D0D189,0,August,male,ad,1
00069DDF49,0,August,male,ad,1
0006D0F773,1,August,female,ad,0
0006D0F253,0,August,male,ad,1
0006A3FA6E,1,August,female,ad,0
0006C968FF,0,August,female,ad,1
0006A4150F,1,August,female,ad,1
0006B9A574,0,August,female,ad,1
0006D0E77F,1,August,male,ad,1
0006B993D5,1,August,male,ad,1
0006D19224,1,August,female,ad,1
0006A3E817,1,August,female,ad,0
0006C99A97,1,August,female,ad,0
0006D0BFE4,1,August,male,ad,0
0006D0CDDF,0,August,female,ad,1
0006D0F624,0,August,male,ad,1
0006C9A274,1,August,female,ad,0
0006D0CAB7,1,August,female,ad,0
0006C988C7,2,August,female,ad,0
0006D0E567,1,August,female,ad,0
0006D1870B,2,August,female,ad,1
0006A21153,1,August,male,ad,1
00069DC6BD,2,August,female,ad,0
0006D13028,0,August,female,ad,0
0006D0EEE3,0,August,female,ad,1
0006A21336,0,August,female,ad,1
0006D0F777,1,August,male,ad,1
0006C981E3,1,August,female,ad,0
0006A3E78E,0,August,male,ad,1
0006D0E868,0,August,female,ad,0
0006D0ED69,1,August,female,ad,1
0006B87F16,1,August,female,ad,1
0006B8880D,0,August,male,ad,1
00069DC55E,0,August,female,ad,1
0006B980E5,0,August,female,ad,1
0006D7AF93,1,August,female,ad,1
0006C96F53,1,August,male,ad,1
0006D0F04E,1,August,female,ad,0
0006D0CC2A,0,August,female,ad,1
0006B8AE77,0,August,female,ad,1
00069DE9D6,0,August,female,ad,1
0006D19194,0,August,female,ad,1
0006D0CE84,1,August,female,ad,1
0006B9747E,0,August,female,ad,0
00069DE34D,1,June,male,ad,0
0006A3FA6E,1,June,female,ad,0
0006D0D261,2,June,male,ad,0
0006D7C17C,1,June,male,ad,0
0006D7C17C,1,June,male,ad,0
0006D0DBDC,2,June,male,ad,0
0006D7A030,2,June,male,ad,0
0006D0CD50,0,June,male,ad,0
0006D0C8B5,1,June,male,ad,0
0006A3FED9,0,June,male,ad,1
0006D0E26E,0,June,male,ad,0
0006A3F7B1,1,June,male,ad,1
0006B98716,0,June,male,ad,1
0006B9726B,1,June,male,ad,1
0006B87F16,1,June,female,ad,0
0006D0E567,1,June,female,ad,0
0006A41CF2,1,June,male,ad,1
00069DD316,1,June,female,ad,0
0006D0E736,1,June,male,ad,0
0006A21DF3,0,June,male,ad,1
0006B8B3C1,0,June,male,ad,1
0006A3FB44,1,June,male,ad,1
0006B898AA,1,June,male,ad,1
0006B9726B,1,June,male,ad,1
0006B8B3A4,0,June,male,ad,0
00069DF7CF,1,June,female,ad,0
0006B98BB9,1,June,male,ad,0
0006D0E26E,0,June,male,ad,0
0006A2EDFC,1,June,male,ad,0
0006B9717A,1,June,female,ad,1
00069DDF49,0,June,male,ad,1
0006B87D91,1,June,female,ad,0
0006A418B8,1,June,male,ad,1
0006A207C2,0,June,male,ad,1
0006D0E4D9,1,June,male,ad,1
0006A3EA61,1,June,male,ad,0
00069DD4E5,1,June,female,ad,0
0006B889C3,0,June,female,ad,1
00069DC55E,0,June,female,ad,1
0006D7C410,0,June,male,ad,1
00069DE8EF,0,June,male,ad,1
0006D7D0AF,0,June,female,ad,0
00069DC6BD,2,June,female,ad,0
0006B96FE9,0,June,male,ad,0
0006C99179,0,June,male,ad,1
0006D0D47A,1,June,male,ad,1
0006A3E8BA,1,June,female,ad,0
0006D0E9C9,0,June,male,ad,1
0006B97CD5,0,June,female,ad,0
0006B97A39,1,June,female,ad,0
0006D0E115,0,June,female,ad,1
0006A21336,0,June,female,ad,1
0006D0F578,1,June,female,ad,1
0006A3ECB1,1,June,male,ad,1
0006B8880D,0,June,male,ad,1
0006A21153,1,June,male,ad,0
0006D0F578,1,June,female,ad,1
0006B993D5,1,June,male,ad,1
0006A3E78E,0,June,male,ad,1
0006A215EF,1,June,female,ad,0
0006A3E817,1,June,female,ad,0
0006A4125E,1,June,female,ad,0
0006B9747E,0,June,female,ad,0
0006B99DD3,2,June,female,ad,0
0006D0CEAD,0,June,female,ad,1
0006A3FCE3,1,June,female,ad,0
0006A201BC,1,June,female,ad,0
0006A21916,1,June,female,ad,0
0006B980E5,0,June,female,ad,1
00069DE9D6,0,June,female,ad,1
0006B8AE77,0,June,female,ad,0
0006A4150F,1,June,female,ad,1
0006C97E29,0,June,male,ad,1
0006D7A032,0,May,female,ad,0
