Order,Family,Binomial,Parental care,Dry weight,Lifetime fecundity,Egg volume
Coleoptera,Anobiidae,Anobium_punctatum,No care,1.43,55,*
Coleoptera,Bruchidae,Acanthoscelides_obtectus,No care,5.65,68,*
Coleoptera,Buprestidae,Capnodis_tenebrionis,No care,234.52,279,*
Coleoptera,Buprestidae,Coraebus_rubi,No care,33.16,56,*
Coleoptera,Byturidae,Byturus_tomentosus,No care,5.9,83.5,*
Coleoptera,Carabidae,Calosoma_sycophanta,No care,305.9,1959,*
Coleoptera,Carabidae,Lebia_grandis,No care,21.58,1300,*
Coleoptera,Cerambycidae,Oberia_erythrocephala,No care,20.48,40,*
Coleoptera,Chrysomelidae,Acromis_sparsa,Guarding,22.96,*,1.57
Coleoptera,Chrysomelidae,Agasicles_hygrophila,No care,2.69,*,1.19
Coleoptera,Chrysomelidae,Ambrostoma_quadriimpressum,No care,53.93,500,*
Coleoptera,Chrysomelidae,Galerucella_calmariensis,No care,5.65,350,*
Coleoptera,Chrysomelidae,Galerucella_pusilla,No care,4.76,350,*
Coleoptera,Chrysomelidae,Gonioctena_japonica,Guarding,21.51,40.6,*
Coleoptera,Chrysomelidae,Gonioctena_olivacea,No care,16.91,600,*
Coleoptera,Cleridae,Necrobia_rufipes,No care,8.05,89.59,0.13
Coleoptera,Coccinellidae,Adalia_bipunctata,No care,7.51,537,*
Coleoptera,Coccinellidae,Chilocorus_nigritus,No care,5.79,289.5,*
Coleoptera,Coccinellidae,Chilocorus_stigma,No care,9.68,*,5.58
Coleoptera,Coccinellidae,Coccinella_septempunctata,No care,26.38,700,0.6
Coleoptera,Coccinellidae,Coleomegilla_maculata,No care,3.44,600,0.6
Coleoptera,Coccinellidae,Cryptolaemus_montrouzieri,No care,1.07,439,*
Coleoptera,Coccinellidae,Exochomus_flavipes,No care,7.26,137,*
Coleoptera,Coccinellidae,Harmonia_axyridis,No care,27.17,560.5,*
Coleoptera,Coccinellidae,Hippodamia_convergens,No care,3.44,221,0.6
Coleoptera,Coccinellidae,Leis_conformis,No care,17.03,904,*
Coleoptera,Coccinellidae,Rodolia_cardinalis,No care,0.89,165,*
Coleoptera,Curculionidae,Cyphocleonus_achates,No care,76.49,65,*
Coleoptera,Curculionidae,Gymnetron_antirrhini,No care,2.89,54,0.15
Coleoptera,Curculionidae,Gymnetron_linariae,No care,0.25,*,0.15
Coleoptera,Curculionidae,Gymnetron_netum,No care,4.37,45,2.31
Coleoptera,Curculionidae,Hylobius_transversovittatus,No care,37.39,200,5.86
Coleoptera,Curculionidae,Neochetina_bruchi,No care,8.62,200,*
Coleoptera,Curculionidae,Neochetina_eichhorniae,No care,11.98,200,*
Coleoptera,Curculionidae,Oxyops_vitiosa,No care,38.42,470,0.6
Coleoptera,Curculionidae,Rhinocyllus_conicus,No care,14.29,150,*
Coleoptera,Curculionidae,Sitophilus_granarius,No care,3.44,231,*
Coleoptera,Curculionidae,Trichosirocalus_horridus,No care,16.02,800,*
Coleoptera,Dermestidae,Anthrenus_museorum,No care,2.69,22,*
Coleoptera,Dermestidae,Anthrenus_verbasci,No care,2.94,60,*
Coleoptera,Dermestidae,Attagenus_pellio,No care,9.85,50,*
Coleoptera,Dermestidae,Attagenus_piceus,No care,8.62,83,*
Coleoptera,Dermestidae,Dermestes_frischi,No care,24.42,*,1.82
Coleoptera,Dermestidae,Dermestes_lardarius,No care,19.77,138,*
Coleoptera,Dermestidae,Trogoderma_granarium,No care,1.88,40,*
Coleoptera,Dermestidae,Trogoderma_versicolor,No care,8.74,108.5,*
Coleoptera,Derodontidae,Laricobius_erichsonii,No care,0.71,50,*
Coleoptera,Drilidae,Drilus_flavescens,No care,5.76,475,*
Coleoptera,Elateridae,Agriotes_mancus,No care,15.59,105,*
Coleoptera,Elateridae,Melanotus_longulus,No care,46.05,173,*
Coleoptera,Lampyridae,Lamprophorus_tenebrosus,No care,42.76,66,*
Coleoptera,Lyctidae,Lyctus_brunneus,No care,4.03,17,*
Coleoptera,Lyctidae,Lyctus_linearis,No care,1.94,15,*
Coleoptera,Nitidulidae,Carpophilus_hemipterus,No care,2.86,1071,*
Coleoptera,Nitidulidae,Carpophilus_humeralis,No care,4.83,882,*
